column_0_cat,column_1_int,column_2_float,column_3_int,column_4_float,column_5_float,column_6_int,column_7_cat,column_8_cat,column_9_date
Elizabeth,8,61.2662710185828,6,73.31953676990454,0.8446332663821887,8,deer,Nairobi,2020-03-16
Ahmed,9,60.029194870136216,2,52.78538638433721,90.06138984140843,1,deer,Nairobi,2020-07-29
Ahmed,7,21.977279913869786,7,51.60544767485911,0.4111693012174955,2,turkey,Nairobi,2020-09-23
William,6,8.990182734100093,9,88.11433122023882,21.14877289515199,6,pig,Moscow,2020-02-17
Ahmed,1,71.69012007834286,5,35.0236901505397,45.23447241531938,1,pig,Moscow,2020-02-17
Elizabeth,7,17.89467454429703,6,39.83864981602166,67.02180882426413,0,deer,Lisbon,2020-08-27
Ahmed,0,65.65382555864537,5,36.06508279235875,22.563672150246074,3,deer,Madrid,2020-12-06
Susan,4,31.23311395208892,5,2.1363174260684903,36.38943282850771,3,pig,Nairobi,2020-11-22
Mary,3,62.0171934860839,8,44.91525725272165,70.61585651212417,3,deer,Moscow,2020-07-14
William,9,58.461335117934475,0,57.158727921795204,76.2255370088856,8,turkey,Moscow,2020-08-27
William,6,6.836377716946629,8,89.0187638729753,12.813998926262006,3,deer,Tokyo,2020-09-16
Elizabeth,8,48.84053930749742,8,93.73356698265941,4.3865635621565975,4,crab,Nairobi,2020-08-05
Ahmed,5,71.87473504430133,8,70.33818920246115,5.620616127472444,8,pig,Madrid,2020-07-16
Elizabeth,7,90.93589050616906,7,31.333368852499323,23.23799951568771,2,deer,Tokyo,2020-06-19
Elizabeth,3,22.994699555709087,9,25.23424039303892,39.581544191367946,6,fish,Moscow,2020-05-12
Ahmed,9,81.73482674881025,3,78.10882115406447,23.874324124252777,0,crab,Nairobi,2020-04-19
Ahmed,6,76.5268061552033,0,80.27458113990552,50.14399123891958,9,turkey,Lisbon,2020-06-25
Mary,0,43.72153628042701,6,33.64822969022334,13.98595872886509,2,fish,Nairobi,2020-10-18
Elizabeth,4,35.54019144705428,3,77.04036820732244,60.13743658959514,6,turkey,Nairobi,2020-05-23
William,1,66.47749995193797,3,1.1738346616478323,59.460378548378266,1,turkey,Lisbon,2020-06-18
Elizabeth,0,62.527040875007515,9,70.8764058238273,98.1675844505094,8,turkey,Moscow,2020-12-20
Susan,4,0.3539468087457087,9,76.9756708774704,82.40376906287042,4,pig,Moscow,2020-06-06
Elizabeth,9,22.078693266210703,0,34.81407595184882,59.834042022776856,4,pig,Lisbon,2020-01-23
Susan,9,18.60458236231256,9,98.8610088462122,1.329229953981681,8,deer,Lisbon,2020-07-22
Ahmed,9,51.02870308953224,0,40.09157748846914,56.1956170557348,2,turkey,Madrid,2020-04-20
Ahmed,3,89.35229038990104,1,9.191527222182716,42.099432973520365,9,pig,Moscow,2020-12-29
Mary,8,98.67804310336182,8,2.376840119439627,43.088273885264336,3,crab,Lisbon,2020-06-25
Ahmed,9,72.39445105176993,5,30.52245761904221,81.24902181578763,9,fish,Madrid,2020-06-11
Susan,6,49.43473388391371,8,0.21651912328475298,86.97809714935408,6,turkey,Tokyo,2020-02-02
Elizabeth,4,53.924677524770146,6,54.63860381446284,94.96866848994785,5,fish,Nairobi,2020-10-08
Mary,0,70.0647695158802,0,77.950648012343,41.314207620128975,5,deer,Tokyo,2020-12-09
Susan,4,75.63161612807384,3,55.65095600742352,92.86281041958031,0,deer,Nairobi,2020-12-08
Ahmed,8,11.016956092392826,5,62.83868959904705,41.2549979259074,4,pig,Lisbon,2020-09-11
Ahmed,3,11.718565062568075,0,66.4242762403509,9.188256166733755,3,crab,Madrid,2020-02-11
Susan,6,27.554754212552012,5,51.728207973418705,91.81169726007717,9,deer,Madrid,2020-02-14
Mary,1,3.1857550393972534,6,92.58791646686937,80.12427125223508,6,turkey,Nairobi,2020-11-04
Ahmed,7,52.26017040839655,7,11.7907833115933,65.96162789379953,9,crab,Moscow,2020-04-20
Elizabeth,8,12.857530672490947,7,16.825809473523744,52.07164919424726,0,turkey,Lisbon,2020-12-30
Ahmed,7,57.66212085156197,1,77.97180468515961,33.62747723119185,0,fish,Moscow,2020-07-08
Elizabeth,5,64.11243865050032,5,83.69653880926647,34.314150124882204,2,pig,Moscow,2020-07-01
Elizabeth,7,0.6666547775432408,6,56.23778085870429,2.279543430383457,7,fish,Madrid,2020-10-05
Susan,3,66.77499928506144,4,64.78363317171136,40.41215044867611,6,pig,Moscow,2020-10-14
Mary,5,47.2712262706954,2,75.77806478656335,50.77761772598962,3,turkey,Moscow,2020-10-14
Mary,7,47.16215210200902,4,42.3031163834383,65.30582530199948,8,pig,Nairobi,2020-05-12
Mary,6,4.2134990932838345,6,67.94249866819496,13.983712966037187,5,turkey,Madrid,2020-11-01
Elizabeth,9,1.8872482392338852,1,24.83044044883077,28.347845420792172,3,pig,Moscow,2020-07-15
Mary,5,73.8024145876522,4,64.36655243719309,44.33955324116613,1,fish,Tokyo,2020-02-06
Ahmed,0,3.2247844208387333,9,19.55945393533659,97.88665407218828,0,crab,Lisbon,2020-08-12
William,7,6.997529016388948,1,37.507380641062106,83.9617819379873,8,deer,Lisbon,2020-09-09
Susan,7,88.35115977292328,4,14.557317849618578,90.1203650643025,9,fish,Lisbon,2020-06-24
Elizabeth,8,80.06390764993183,2,43.211528910610774,5.641425078129492,7,fish,Moscow,2020-04-05
Susan,8,45.03358833313512,0,34.504697571931295,26.77901262842626,9,fish,Moscow,2020-06-13
Ahmed,9,43.146288337686144,3,92.12590761922064,59.6811016303485,5,pig,Moscow,2020-01-18
Elizabeth,3,49.38414502785912,5,57.829368162983904,57.74017513599126,1,pig,Moscow,2020-08-15
Mary,2,48.69906485351424,4,46.9972031731391,98.44847055665511,8,deer,Moscow,2020-09-15
Mary,6,98.42576617297152,9,66.85846398418359,91.60661701889758,6,deer,Moscow,2020-10-09
Susan,6,30.769656348436612,3,90.59104111484079,70.56157447112832,1,crab,Lisbon,2020-08-23
Mary,6,59.97085903647212,7,93.79314771083594,49.37668235494762,0,turkey,Tokyo,2020-12-08
Elizabeth,8,36.01851274216802,2,83.47644867359348,52.45594553680954,0,pig,Lisbon,2020-08-04
Elizabeth,6,15.675047104919926,7,1.918862987464376,35.585766823597375,2,pig,Nairobi,2020-07-18
Ahmed,7,83.54901507277808,0,49.919238450237316,12.415962474777874,5,pig,Lisbon,2020-06-21
Susan,3,4.360542427719361,0,78.6777845096464,75.98353030921425,1,crab,Moscow,2020-04-08
Susan,1,75.62178754643355,6,55.794591443716094,57.82983839878052,2,deer,Lisbon,2020-08-20
Elizabeth,8,3.736384893012068,4,9.087570543393575,9.248391034386039,9,turkey,Nairobi,2020-09-10
Susan,1,87.18769968752592,0,14.087456574726676,74.50758687639035,2,turkey,Tokyo,2020-02-17
Ahmed,3,68.50191784837041,1,17.98950842783903,12.277097764723099,4,pig,Moscow,2020-04-04
Elizabeth,0,52.955863832758624,3,7.797118451800566,79.27452202738657,4,fish,Tokyo,2020-08-17
Mary,1,57.02276141735311,1,77.33089270855686,74.01120159673005,3,fish,Moscow,2020-07-29
Susan,1,30.04066532070837,8,99.38086140986697,57.58085665984656,9,crab,Madrid,2020-08-21
William,8,83.14450486282671,4,50.20904280527514,3.5746119245286145,6,fish,Lisbon,2020-06-15
Elizabeth,1,87.18124654279534,2,88.59163929300597,90.1287701626975,2,deer,Madrid,2020-12-07
Elizabeth,5,36.232651695019236,4,52.870395037524666,9.832481200811493,3,fish,Nairobi,2020-08-15
Ahmed,0,49.0330476984913,9,0.05530984999484456,41.54970749918622,8,fish,Moscow,2020-04-01
Mary,3,92.01870630495438,6,48.714083882010286,51.703956083484684,5,crab,Madrid,2020-01-15
Ahmed,5,17.187212081449765,4,49.75695131941447,23.600474867184083,1,crab,Tokyo,2020-07-21
Elizabeth,5,18.353453577301515,9,45.99189762707964,88.02144640504707,8,crab,Moscow,2020-12-23
Susan,3,30.217685447997933,0,85.5948771142168,49.61803635486432,1,turkey,Lisbon,2020-06-20
Elizabeth,2,20.164359254704635,7,72.88737214874934,17.728154329531154,1,deer,Nairobi,2020-03-08
Elizabeth,5,73.25954692160805,7,14.73747606284257,24.976983886949178,8,pig,Tokyo,2020-09-26
Ahmed,6,33.35751990865504,6,24.95483422781213,5.395740093683477,4,deer,Tokyo,2020-08-14
Elizabeth,0,72.00637276426554,3,69.76052435441554,87.42854149514957,5,deer,Moscow,2020-09-22
Susan,6,31.602349141663144,4,32.28007054282131,97.11595991998144,1,deer,Moscow,2020-05-22
William,4,33.899097331964946,6,4.624616376365054,0.7199494407273077,7,fish,Lisbon,2020-09-15
Susan,9,90.98334270846023,5,72.10229770077311,14.948805579495394,9,fish,Moscow,2020-11-10
Susan,6,41.670512746368324,4,95.78677056119454,74.36245234173661,1,pig,Nairobi,2020-05-12
Susan,8,35.75141859393112,9,6.998868078649078,95.06242662859363,3,turkey,Lisbon,2020-05-16
Ahmed,7,81.28287938766942,1,50.64949292148502,8.816065482367375,7,deer,Madrid,2020-06-14
Susan,4,13.731105716293957,1,24.79055630760101,84.67321735173499,4,pig,Tokyo,2020-08-26
William,6,83.43482355269782,3,14.976670962044325,85.38462602594983,8,turkey,Tokyo,2020-08-14
Ahmed,8,49.050781380636806,5,5.915626206648206,85.78524117860205,0,crab,Madrid,2020-10-24
William,4,56.99736669836495,7,83.10508124762767,65.72751171454566,0,fish,Moscow,2020-08-01
Susan,6,58.83750881823489,6,32.764610367012416,99.74961831142906,5,deer,Lisbon,2020-04-05
Mary,2,92.17012894491181,7,47.7144069137512,79.45714666410267,7,turkey,Lisbon,2020-08-03
Ahmed,6,72.56206953896567,3,97.95600877048237,14.565285672262164,1,fish,Nairobi,2020-12-09
Susan,2,62.9966791214421,1,23.720567659820112,78.0631285131622,4,pig,Madrid,2020-05-06
Susan,5,56.61173591589821,0,57.40799999935183,35.5236054324507,6,deer,Madrid,2020-09-20
Mary,9,81.07273652910142,9,47.69198444584233,40.5369281066076,9,deer,Moscow,2020-05-09
Elizabeth,7,44.97513652791278,4,58.62782199244149,68.09242221398974,4,crab,Moscow,2020-07-27
William,9,36.013692934687846,6,38.40839962930189,53.33103293824738,4,turkey,Tokyo,2020-04-12
William,1,79.90633843295923,8,99.05258231853689,14.85788066574506,1,deer,Nairobi,2020-04-19
Susan,8,11.624420047940198,8,2.729615937403884,69.04545206142102,5,deer,Nairobi,2020-12-20
Susan,1,75.05444436780706,6,27.99033225792803,85.02161312503685,4,deer,Moscow,2020-09-13
Ahmed,4,5.220596274790601,0,56.05992211913473,74.83507441504143,2,fish,Tokyo,2020-01-28
Ahmed,9,92.89134396844591,6,70.57480626245409,67.0325869767717,3,crab,Madrid,2020-10-29
Susan,2,5.598510032701142,3,42.1024815214099,62.0559810774895,2,turkey,Tokyo,2020-02-08
Elizabeth,0,0.8577012024702402,9,38.44043900924697,47.96766111709473,2,pig,Moscow,2020-11-02
Ahmed,6,63.94940098055271,8,1.1042282130499292,65.86273430645095,7,turkey,Tokyo,2020-12-14
Ahmed,2,3.1924817823470897,0,83.80746650368752,34.67850007992187,5,crab,Moscow,2020-01-26
Ahmed,9,46.60847258493218,2,28.277745438672085,95.3778445552295,4,deer,Moscow,2020-03-02
Elizabeth,4,29.393335726236337,1,35.858847298455665,39.377907881941084,4,turkey,Nairobi,2020-02-02
Ahmed,5,35.87325621143515,6,36.2859042774836,43.76872521794698,2,fish,Lisbon,2020-12-10
Ahmed,8,94.14358664938857,8,31.51295672445483,53.22034257744326,3,crab,Nairobi,2020-01-24
Mary,8,13.785542489863456,0,34.39776883491169,32.84814262536773,2,pig,Lisbon,2020-07-31
William,4,55.117920068304784,0,33.405945136418836,74.88921658251653,1,pig,Tokyo,2020-04-24
Ahmed,0,30.797683573163138,2,91.52524985684155,71.49658739871037,2,pig,Tokyo,2020-04-12
Ahmed,3,24.34380260628666,3,71.29454786850467,30.0400917082426,0,pig,Tokyo,2020-12-23
Mary,9,12.262736450788857,1,2.972719962021797,45.65532870645325,2,fish,Moscow,2020-10-23
Elizabeth,9,96.25516326028732,0,52.03599766710874,65.85635386282212,8,crab,Lisbon,2020-11-17
Mary,0,60.85376865993556,7,55.181247913294285,58.39494329711461,0,turkey,Madrid,2020-01-09
Susan,1,48.78870753887698,4,41.554031307904374,56.368253315982386,0,fish,Madrid,2020-09-17
Mary,6,57.479738085569885,5,73.61908476878772,0.23571262761289402,7,pig,Moscow,2020-12-01
Elizabeth,6,58.73703508431003,9,88.32591853332225,87.86702766181739,7,deer,Nairobi,2020-08-20
Ahmed,7,65.87088504014105,5,30.25565698111655,6.991321797048833,7,turkey,Madrid,2020-03-10
Mary,9,59.302898261670045,7,17.383127120407348,75.5981704587981,2,crab,Nairobi,2020-04-12
Mary,3,11.088314914993557,8,82.11511300684215,11.50037706698157,6,fish,Moscow,2020-11-13
Mary,0,1.9113206364911206,7,42.456858962735666,70.16299412977895,2,turkey,Madrid,2020-12-17
Ahmed,0,45.28128231325521,7,67.80930589286079,67.83006542052453,4,deer,Moscow,2020-12-28
Susan,5,75.85222969383241,3,2.615297423129448,38.72307754125567,8,crab,Moscow,2020-11-16
Ahmed,4,71.00670088413774,9,15.435446682495302,88.97990065877026,6,fish,Nairobi,2020-08-14
Elizabeth,6,70.1319431854023,1,52.635429271056125,85.12872956825404,3,deer,Nairobi,2020-11-26
William,5,95.08268034846859,8,66.15254811048669,23.41022062107023,9,pig,Tokyo,2020-05-07
Elizabeth,1,2.8343527411854197,1,36.393676880897594,32.02425746961147,1,deer,Nairobi,2020-10-20
Mary,4,87.00431599867487,2,70.16302209625307,17.89672695835687,0,turkey,Nairobi,2020-11-29
William,3,96.73360821870314,2,2.2265146322515528,82.78146120789664,2,pig,Moscow,2020-08-21
Ahmed,7,86.80623459110114,5,82.20102774581129,16.373843376254992,3,fish,Nairobi,2020-08-05
Elizabeth,9,37.87203207294395,6,41.223496113088565,52.813697557701374,9,deer,Nairobi,2020-02-04
Ahmed,5,39.25016150964096,4,73.96554378140443,36.063788773183525,4,crab,Tokyo,2020-12-29
Ahmed,5,61.89705892756143,1,91.01020120391222,38.856139086019716,3,crab,Nairobi,2020-01-31
William,1,10.721002729244455,8,52.59574235398789,80.88129135939047,1,turkey,Lisbon,2020-11-28
Ahmed,5,58.023505908868856,4,26.29135865381088,3.868943847671269,3,turkey,Madrid,2020-01-13
Susan,3,61.30802063095756,4,95.23338002825518,86.9781124103402,7,turkey,Moscow,2020-07-03
Elizabeth,1,30.308903246271367,0,93.25909894539916,63.950592383675406,4,pig,Tokyo,2020-08-16
William,8,22.336503721686007,3,68.36155324835548,71.05763825832702,2,pig,Lisbon,2020-06-24
Mary,3,92.15733096125174,7,31.866263711210962,37.59133393490573,4,turkey,Nairobi,2020-11-09
William,8,5.611570213492623,7,80.24111431723993,96.95258455824819,8,turkey,Nairobi,2020-09-01
Susan,5,55.950110690151625,7,40.30471717537618,78.70849262040075,7,pig,Lisbon,2020-08-07
Elizabeth,5,84.69988005335327,9,25.8841698491869,31.42135491189523,7,fish,Lisbon,2020-09-17
Ahmed,6,5.4693855899144665,6,77.64927453276798,91.59169374191823,3,turkey,Nairobi,2020-11-08
Ahmed,0,46.9592501405986,9,99.35057139282281,46.18285142232498,7,deer,Moscow,2020-01-04
Susan,2,48.18433090198076,7,57.456592821251164,35.017464986228156,3,deer,Lisbon,2020-09-20
Ahmed,2,39.37751319887213,0,8.102343422845948,56.86126953332118,0,pig,Tokyo,2020-04-28
Susan,9,90.3734137353294,6,52.51717912249043,4.6675295613846535,8,turkey,Lisbon,2020-10-01
Mary,0,14.098158913147419,3,59.988772776528776,45.74737355676544,9,turkey,Moscow,2020-01-21
William,1,33.031015716921296,1,75.83926106374922,13.636284765349306,6,fish,Tokyo,2020-02-06
Susan,8,71.02439928802731,2,91.74371027317358,7.339384790466664,6,crab,Nairobi,2020-06-17
Elizabeth,7,73.02559734832734,3,2.0855101812351284,24.257498405641797,6,crab,Tokyo,2020-12-19
Mary,6,79.2213547354597,5,80.71034060579395,33.40116138625008,9,turkey,Nairobi,2020-05-16
Ahmed,5,95.18162824507439,0,22.75278677901298,22.699930978639728,4,deer,Madrid,2020-10-21
William,8,74.31409140747395,3,42.6879581409044,24.504505614128536,7,fish,Nairobi,2020-10-25
Elizabeth,1,1.7517760089133527,7,80.65509912907416,84.40418942185512,4,deer,Madrid,2020-07-06
William,0,26.62904473713652,8,61.84904887253669,28.18945704656105,1,deer,Madrid,2020-03-13
Ahmed,8,80.45639048692902,6,16.421573194174954,51.58477951254687,3,crab,Lisbon,2020-05-25
William,7,41.31668810961079,9,10.752963499296753,50.3997895810996,7,turkey,Moscow,2020-12-25
Susan,3,96.35196516522994,9,32.64028894092683,99.72724259414156,4,pig,Madrid,2020-06-07
William,6,30.743180957635207,5,20.686616136207736,21.140000605446986,6,deer,Moscow,2020-04-04
Susan,2,60.89851217718966,0,53.273786724871286,99.61146287463605,1,crab,Nairobi,2020-02-09
William,8,78.19197451021921,7,45.33931823735703,85.14272865247693,1,deer,Madrid,2020-12-21
Mary,0,87.30037962194727,6,9.717163117098881,39.17435911279272,3,crab,Lisbon,2020-06-19
Mary,7,36.11628024174235,4,75.94674718617566,11.090351298518875,4,crab,Nairobi,2020-04-11
Ahmed,2,24.789604238620655,8,4.541660375837441,30.39426981086758,3,crab,Tokyo,2020-08-25
Mary,1,91.12458524805635,0,43.9360779347152,27.539224867397383,9,deer,Nairobi,2020-11-20
Elizabeth,1,12.442572970483557,6,24.94815381138413,35.467916810118105,6,turkey,Nairobi,2020-05-04
Ahmed,6,22.21956230759399,1,99.0761205525653,42.00018090114741,2,deer,Moscow,2020-12-25
Susan,9,71.34884641950052,2,65.47330820539743,76.91731230787954,3,fish,Moscow,2020-12-05
Ahmed,4,93.73909969656063,5,95.81084358491225,72.10162685300531,7,fish,Tokyo,2020-12-24
Elizabeth,9,15.347028485610881,4,84.58939818509282,92.71337937778344,6,fish,Nairobi,2020-11-19
Elizabeth,7,83.50701750902742,8,11.432870262563355,87.08508612827374,8,pig,Nairobi,2020-08-19
William,2,47.59887691813193,9,80.5770829514905,46.224134109470796,9,pig,Lisbon,2020-01-31
William,7,9.629794182539285,5,85.96255152039583,33.60911654577416,7,fish,Moscow,2020-05-02
Susan,9,90.61906813730812,1,18.00698042990345,67.32795524497148,4,pig,Lisbon,2020-12-14
Susan,9,35.38694996037657,0,74.07960204458797,91.79695746943885,2,crab,Moscow,2020-02-29
William,9,92.70965160974727,3,96.71579926138479,20.26734711903928,6,fish,Moscow,2020-07-03
Susan,2,68.06775217592,5,93.79375964334945,13.738761166109182,8,fish,Lisbon,2020-10-03
Ahmed,4,81.20258459096743,5,93.59083805363025,76.15126258479081,4,deer,Lisbon,2020-06-27
Elizabeth,1,76.73159949764108,3,86.23991566071678,19.326508008385566,3,deer,Moscow,2020-06-23
Ahmed,9,91.79904536215055,6,23.689759126180675,86.39128637315655,7,crab,Madrid,2020-12-24
Ahmed,8,93.48826251275493,8,10.862108498517209,1.2011904381228455,7,crab,Tokyo,2020-10-13
Susan,3,11.331244130198515,0,75.5290155967876,90.81261640381302,8,crab,Madrid,2020-06-15
Ahmed,4,3.254062337901309,2,9.914166582549033,17.758520304853896,4,pig,Lisbon,2020-10-18
Elizabeth,2,13.826460260853091,3,41.849140677124474,12.611825373828934,4,crab,Lisbon,2020-10-21
Susan,6,21.856261441719905,7,75.76927171756945,8.892214278224053,1,crab,Lisbon,2020-01-15
Elizabeth,2,4.259051612030495,5,15.487956024443273,88.36367794293871,4,crab,Tokyo,2020-07-14
Ahmed,6,32.977813688309524,2,62.70602279381564,31.155214983616396,7,deer,Tokyo,2020-01-19
Ahmed,6,74.80470794962308,9,16.46076688082607,10.555940488098003,7,deer,Moscow,2020-07-20
Mary,7,52.75769964143615,3,42.15644385203562,17.985464114838003,2,turkey,Tokyo,2020-11-08
Mary,7,36.92114054893933,8,51.45827490466307,3.63443611742581,8,fish,Tokyo,2020-03-19
Ahmed,9,68.5044367768374,3,64.90713728494082,78.56364347106478,0,turkey,Moscow,2020-05-11
Mary,7,21.32824291029153,3,96.3990965286018,89.73342909675551,2,turkey,Lisbon,2020-05-01
Elizabeth,6,79.67067528375611,8,1.257839926429405,28.458514166346994,1,crab,Moscow,2020-09-15
Ahmed,8,18.098281896175784,4,1.6815451213526234,88.65441610069699,8,crab,Lisbon,2020-04-16
Susan,9,73.96176766453274,3,9.844507500123623,81.15527949611865,3,turkey,Tokyo,2020-11-22
Mary,3,53.45875685135989,8,87.0627746754638,55.9104094616954,8,crab,Moscow,2020-06-16
Mary,0,85.1396529372265,5,11.021760058170694,98.83930818291076,9,fish,Moscow,2020-05-28
William,0,79.0610622619507,8,92.61096142481037,59.802666682060014,2,deer,Tokyo,2020-09-30
Mary,3,58.53789565762476,1,60.57742365186333,43.77369799507503,5,fish,Moscow,2020-08-23
Elizabeth,2,7.4971857890188565,6,78.08039324065179,33.89129951181764,7,pig,Moscow,2020-01-19
Ahmed,7,83.40847048081851,7,71.69171112605017,69.89075467917405,0,fish,Moscow,2020-09-12
Susan,8,21.21135973112569,5,14.715901094687379,62.09265007998016,3,deer,Lisbon,2020-05-16
Mary,4,26.540440511532516,5,39.38610009960042,39.474800719361056,0,deer,Madrid,2020-07-04
Mary,9,70.90812131738818,6,60.809981733170815,49.78839729193207,8,deer,Nairobi,2020-07-31
Mary,8,20.433782963481463,6,54.255798463793504,3.628169333536535,1,deer,Madrid,2020-11-15
Mary,7,94.8962529136077,7,68.13152653832391,86.0142415451478,1,turkey,Moscow,2020-05-09
Ahmed,9,40.6469436319917,2,50.033280752548436,65.75694447596969,7,deer,Tokyo,2020-10-17
Susan,4,15.173187018763624,6,26.64412683828702,49.06290959471754,9,deer,Moscow,2020-08-20
Ahmed,4,99.52765147423088,4,13.520723061120488,73.62343350226331,1,fish,Madrid,2020-09-09
Mary,4,85.96225538487205,9,39.97821089797554,62.10175305740515,2,deer,Madrid,2020-08-15
Elizabeth,9,22.118625510119838,1,59.71519361324248,61.62352950997422,5,fish,Tokyo,2020-10-02
Ahmed,5,79.09712354555285,2,10.45907534020747,65.56758408444715,7,pig,Moscow,2020-01-23
Elizabeth,2,20.32188834296649,5,91.4232647743827,18.839053712166308,2,fish,Tokyo,2020-04-16
Elizabeth,7,94.83414433054507,6,50.33062151806163,53.275780270419304,2,pig,Madrid,2020-03-19
Elizabeth,6,62.77699017403028,5,42.84840943400445,68.55032751788059,6,crab,Moscow,2020-07-05
Ahmed,6,15.20089230548195,8,28.146858974794775,44.13140984310038,8,pig,Madrid,2020-07-02
William,8,13.640413194215316,5,68.15103434609279,10.79647152067128,8,pig,Nairobi,2020-04-23
Mary,5,95.47104637150683,2,7.077563475723425,92.4559165211607,2,turkey,Nairobi,2020-06-30
William,2,60.54396603026429,8,69.81248952814684,25.25940777651927,7,pig,Moscow,2020-06-01
William,0,5.930557479262699,7,13.793388302392861,31.79822846493996,3,fish,Lisbon,2020-09-01
Susan,8,78.10983741420597,2,66.27139179169488,27.086150011583843,0,fish,Tokyo,2020-08-21
Elizabeth,7,57.63588797823911,1,55.37866217220824,66.46207806558492,5,fish,Moscow,2020-06-16
Susan,8,42.94421842151935,2,65.90798912194515,76.66448601556873,3,pig,Moscow,2020-12-26
William,0,15.646884769156632,6,93.95155354310882,64.55483962288318,0,fish,Nairobi,2020-05-20
Ahmed,0,2.7207620672758837,3,93.25818176152782,35.09621571047206,4,deer,Tokyo,2020-12-22
Ahmed,7,34.07528645282406,4,45.46460131597304,93.17637601085484,1,pig,Tokyo,2020-01-25
Mary,3,13.407844913902379,6,31.386501512621678,40.850702680623094,2,turkey,Tokyo,2020-08-22
Susan,6,54.75725685332645,0,20.240030911761675,14.06967953990227,0,crab,Nairobi,2020-04-25
Ahmed,6,44.197227393536146,9,51.62441330992533,46.09545845463252,1,deer,Moscow,2020-08-18
William,9,3.230026377035977,4,19.175576991811415,42.380108570848954,2,crab,Moscow,2020-01-19
Ahmed,1,89.10841176777507,8,65.40071498199924,50.37396750684549,5,turkey,Moscow,2020-10-19
Ahmed,7,38.00320368656104,2,31.91019720376098,73.31679286373644,7,pig,Nairobi,2020-09-25
Susan,6,57.00980154637046,7,87.26671603506698,49.71005535885216,2,fish,Lisbon,2020-05-31
William,8,91.78407906473419,3,0.6697117820637755,25.02165125538639,9,pig,Lisbon,2020-10-19
Mary,5,10.123693956134716,3,2.389069003999955,51.35393040633528,2,pig,Moscow,2020-12-20
Susan,4,2.158781748634364,3,11.385313361431393,50.08894123038816,9,deer,Lisbon,2020-09-10
William,1,58.644633834394,5,42.968068466830765,9.76966977883087,9,turkey,Tokyo,2020-11-02
Elizabeth,2,24.929418776394762,1,73.21896531721941,33.901776289090634,9,turkey,Moscow,2020-11-08
Ahmed,3,70.81642424945552,8,51.37760089241789,55.007811706394584,0,deer,Nairobi,2020-08-27
Ahmed,3,56.3661996188463,2,51.864352776871804,21.682521927222464,6,pig,Tokyo,2020-12-01
William,6,4.21985324464571,3,1.3456873644038247,82.46452194414371,2,turkey,Lisbon,2020-12-27
Susan,6,43.532094569230274,3,60.48814491269465,83.68483479064226,4,crab,Lisbon,2020-03-02
Mary,3,34.29338574201353,9,60.554228671627776,8.203283301539132,8,pig,Madrid,2020-05-05
Mary,9,32.99991816752469,3,5.690469079289828,24.920354671157384,8,deer,Lisbon,2020-12-04
Elizabeth,2,65.0298546550659,2,1.1144534581919996,73.09126301079483,3,pig,Nairobi,2020-02-29
Elizabeth,8,16.369250899300358,1,43.450728615189135,16.0503574060765,6,pig,Lisbon,2020-06-29
Ahmed,1,27.667103321435416,7,94.52615372573861,43.051550904524994,6,deer,Moscow,2020-03-25
